,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Scores,RFM_Scores_Levels
17850.0,372.0,34,5391.21,1,4,4,9.0,Level 1-Best Customers
13047.0,31.0,10,3237.54,3,4,4,11.0,Level 2-Loyal Customers
13748.0,95.0,5,948.25,2,3,3,8.0,Level 3-Big Spenders
15100.0,333.0,3,876.0,1,3,3,7.0,Level 4-Almost Lost
15291.0,25.0,15,4668.3,3,4,4,11.0,Level 2-Loyal Customers
14688.0,7.0,21,5630.87,4,4,4,12.0,Level 5-Lost Customers
17809.0,16.0,12,5411.91,4,4,4,12.0,Level 5-Lost Customers
15311.0,0.0,91,60767.9,4,4,4,12.0,Level 5-Lost Customers
16098.0,87.0,7,2005.63,2,4,4,10.0,Level 6-Lost Cheap Customers
18074.0,373.0,1,489.6,1,1,2,4.0,0.0
17420.0,50.0,3,598.83,3,3,2,8.0,Level 3-Big Spenders
16029.0,38.0,63,81024.84,3,4,4,11.0,Level 2-Loyal Customers
16250.0,261.0,2,389.44,1,2,2,5.0,0.0
17511.0,2.0,31,91062.38,4,4,4,12.0,Level 5-Lost Customers
13705.0,7.0,3,711.86,4,3,3,10.0,Level 6-Lost Cheap Customers
13747.0,373.0,1,79.6,1,1,1,3.0,0.0
13408.0,1.0,62,28117.04,4,4,4,12.0,Level 5-Lost Customers
13767.0,2.0,37,17220.36,4,4,4,12.0,Level 5-Lost Customers
17924.0,11.0,7,2962.5,4,4,4,12.0,Level 5-Lost Customers
13448.0,16.0,6,3539.37,4,4,4,12.0,Level 5-Lost Customers
15862.0,8.0,4,832.88,4,3,3,10.0,Level 6-Lost Cheap Customers
15513.0,33.0,19,14758.220000000001,3,4,4,11.0,Level 2-Loyal Customers
16218.0,29.0,7,3084.68,3,4,4,11.0,Level 2-Loyal Customers
14045.0,109.0,4,1659.75,2,3,4,9.0,Level 1-Best Customers
14307.0,88.0,6,2995.72,2,4,4,10.0,Level 6-Lost Cheap Customers
17908.0,373.0,1,243.28,1,1,1,3.0,0.0
17920.0,4.0,17,4204.1,4,4,4,12.0,Level 5-Lost Customers
12838.0,33.0,2,683.13,3,2,3,8.0,Level 3-Big Spenders
13255.0,9.0,2,399.51,4,2,2,8.0,Level 3-Big Spenders
16583.0,373.0,1,233.45,1,1,1,3.0,0.0
18085.0,330.0,2,689.95,1,2,3,6.0,0.0
13758.0,11.0,7,3190.55,4,4,4,12.0,Level 5-Lost Customers
13694.0,3.0,50,65039.62,4,4,4,12.0,Level 5-Lost Customers
15983.0,22.0,4,1475.02,3,3,3,9.0,Level 1-Best Customers
14849.0,21.0,25,7930.54,3,4,4,11.0,Level 2-Loyal Customers
17968.0,373.0,1,277.35,1,1,1,3.0,0.0
16210.0,1.0,18,21086.3,4,4,4,12.0,Level 5-Lost Customers
17897.0,172.0,3,566.6,1,3,2,6.0,0.0
